timestamp,temperature,pressure,humidity,gas_resistance,gas_resistance_ratio
2026-05-26 18:02:23,27.4,1019,41.59,12000,0.6741573033707865
2026-05-26 18:02:23,27.39,1019,41.58,12000,0.6741573033707865
2026-05-26 18:02:23,27.39,1019,41.58,12000,0.6741573033707865
2026-05-26 18:02:24,27.4,1019,41.59,12000,0.6741573033707865
2026-05-26 18:02:24,27.4,1019,41.59,12000,0.6741573033707865
2026-05-26 18:02:24,27.4,1019,41.59,12000,0.6741573033707865
2026-05-26 18:02:24,27.4,1019,41.59,12000,0.6741573033707865
2026-05-26 18:02:24,27.4,1019,41.58,12000,0.6741573033707865
2026-05-26 18:02:25,27.4,1019,41.57,12000,0.6741573033707865
2026-05-26 18:02:25,27.4,1019,41.57,12000,0.6741573033707865
2026-05-26 18:02:25,27.4,1019,41.55,12000,0.6741573033707865
2026-05-26 18:02:25,27.41,1019,41.55,12000,0.6741573033707865
2026-05-26 18:02:26,27.41,1019,41.55,12000,0.6741573033707865
2026-05-26 18:02:26,27.41,1019,41.57,12000,0.6741573033707865
2026-05-26 18:02:26,27.4,1019,41.54,12000,0.6741573033707865
2026-05-26 18:02:26,27.41,1019,41.55,11500,0.6460674157303371
2026-05-26 18:02:26,27.41,1019,41.55,11500,0.6460674157303371
2026-05-26 18:02:27,27.38,1019,41.54,11100,0.6235955056179775
2026-05-26 18:02:27,27.3,1019,41.53,10700,0.601123595505618
2026-05-26 18:02:27,27.22,1019,41.54,10300,0.5786516853932584
2026-05-26 18:02:27,27.22,1019,41.54,10300,0.5786516853932584
2026-05-26 18:02:27,27.15,1019,41.55,9900,0.5561797752808989
2026-05-26 18:02:28,27.1,1019,41.55,9400,0.5280898876404494
2026-05-26 18:02:28,27.1,1019,41.55,9400,0.5280898876404494
2026-05-26 18:02:28,27.07,1019,41.56,8900,0.5
2026-05-26 18:02:28,27.04,1019,41.58,8500,0.47752808988764045
2026-05-26 18:02:28,27.02,1019,41.57,8200,0.4606741573033708
