timestamp,temperature,pressure,humidity,gas_resistance
2026-05-26 18:20:08,27.64,1019,40.99,11000
2026-05-26 18:20:08,27.63,1019,40.98,11000
2026-05-26 18:20:08,27.63,1019,40.98,11000
2026-05-26 18:20:09,27.64,1019,40.98,11100
2026-05-26 18:20:09,27.64,1019,40.98,11100
2026-05-26 18:20:09,27.65,1019,40.99,11000
2026-05-26 18:20:09,27.64,1019,40.98,11000
2026-05-26 18:20:10,27.64,1019,40.98,11000
2026-05-26 18:20:10,27.64,1019,40.98,11100
2026-05-26 18:20:10,27.63,1019,40.99,11100
2026-05-26 18:20:10,27.63,1019,40.99,11100
2026-05-26 18:20:10,27.63,1019,40.99,11100
2026-05-26 18:20:11,27.63,1019,40.99,11100
2026-05-26 18:20:11,27.63,1019,40.99,11100
2026-05-26 18:20:11,27.62,1019,40.99,11100
2026-05-26 18:20:11,27.62,1019,40.99,11100
2026-05-26 18:20:11,27.63,1019,40.99,11200
2026-05-26 18:20:12,27.63,1019,40.99,11200
2026-05-26 18:20:12,27.63,1019,40.99,11200
2026-05-26 18:20:12,27.63,1019,40.97,11200
2026-05-26 18:20:12,27.63,1019,40.98,11200
2026-05-26 18:20:13,27.64,1019,40.98,11200
2026-05-26 18:20:13,27.64,1019,40.98,11200
2026-05-26 18:20:13,27.63,1019,40.99,11200
2026-05-26 18:20:13,27.63,1019,40.99,11200
2026-05-26 18:20:13,27.63,1019,41.00,11200
2026-05-26 18:20:14,27.63,1019,41.00,11200
2026-05-26 18:20:14,27.63,1019,40.99,11200
2026-05-26 18:20:14,27.63,1019,41.00,11200
2026-05-26 18:20:14,27.63,1019,41.00,11200
2026-05-26 18:20:14,27.63,1019,41.01,11200
2026-05-26 18:20:15,27.63,1019,41.02,11200
2026-05-26 18:20:15,27.63,1019,41.00,11200
2026-05-26 18:20:15,27.63,1019,41.00,11200
2026-05-26 18:20:15,27.63,1019,40.98,11300
2026-05-26 18:20:16,27.63,1019,41.02,11300
2026-05-26 18:20:16,27.63,1019,41.02,11300
2026-05-26 18:20:16,27.63,1019,40.99,11300
2026-05-26 18:20:16,27.64,1019,41.00,11300
2026-05-26 18:20:16,27.63,1019,40.99,11300
2026-05-26 18:20:17,27.63,1019,40.99,11300
2026-05-26 18:20:17,27.64,1019,40.99,11300
2026-05-26 18:20:17,27.63,1019,40.98,11300
2026-05-26 18:20:17,27.63,1019,41.00,11300
2026-05-26 18:20:17,27.63,1019,41.00,11300
2026-05-26 18:20:18,27.63,1019,40.99,11300
2026-05-26 18:20:18,27.63,1019,40.99,11300
2026-05-26 18:20:18,27.63,1019,40.99,11300
2026-05-26 18:20:18,27.62,1019,40.98,11300
2026-05-26 18:20:19,27.63,1019,40.99,11300
2026-05-26 18:20:19,27.63,1019,41.01,11300
2026-05-26 18:20:19,27.63,1019,41.01,11300
2026-05-26 18:20:19,27.62,1019,41.00,11300
2026-05-26 18:20:19,27.62,1019,40.99,11300
2026-05-26 18:20:20,27.62,1019,41.00,11300
2026-05-26 18:20:20,27.62,1019,41.00,11300
2026-05-26 18:20:20,27.62,1019,41.01,11300
2026-05-26 18:20:20,27.62,1019,40.99,11300
2026-05-26 18:20:20,27.62,1019,40.99,11300
2026-05-26 18:20:21,27.62,1019,41.00,11200
2026-05-26 18:20:21,27.63,1019,40.98,11200
2026-05-26 18:20:21,27.64,1019,41.00,11200
2026-05-26 18:20:21,27.64,1019,41.00,11200
2026-05-26 18:20:21,27.64,1019,40.99,11200
2026-05-26 18:20:22,27.63,1019,41.02,11100
2026-05-26 18:20:22,27.63,1019,41.02,11100
2026-05-26 18:20:22,27.64,1019,40.98,11100
2026-05-26 18:20:22,27.64,1019,41.02,11000
2026-05-26 18:20:23,27.66,1019,41.03,11000
2026-05-26 18:20:23,27.66,1019,41.03,11000
2026-05-26 18:20:23,27.65,1019,41.00,10900
2026-05-26 18:20:23,27.66,1019,41.03,10800
2026-05-26 18:20:23,27.67,1019,41.00,10800
2026-05-26 18:20:24,27.67,1019,41.00,10800
2026-05-26 18:20:24,27.67,1019,41.01,10700
2026-05-26 18:20:24,27.67,1019,41.03,10700
2026-05-26 18:20:24,27.67,1019,41.03,10700
2026-05-26 18:20:24,27.68,1019,41.03,10600
2026-05-26 18:20:25,27.68,1019,41.01,10600
2026-05-26 18:20:25,27.68,1019,41.03,10500
2026-05-26 18:20:25,27.68,1019,41.03,10500
2026-05-26 18:20:25,27.68,1019,41.03,10500
2026-05-26 18:20:26,27.69,1019,41.04,10400
2026-05-26 18:20:26,27.70,1019,41.03,10400
2026-05-26 18:20:26,27.70,1019,41.03,10400
2026-05-26 18:20:26,27.70,1019,41.03,10400
2026-05-26 18:20:26,27.70,1019,41.05,10300
2026-05-26 18:20:27,27.70,1019,41.05,10300
2026-05-26 18:20:27,27.70,1019,41.04,10300
