temperature,pressure,humidity,gas_resistance
27.4,1019,41.59,0.6741573033707865
27.39,1019,41.58,0.6741573033707865
27.39,1019,41.58,0.6741573033707865
27.4,1019,41.59,0.6741573033707865
27.4,1019,41.59,0.6741573033707865
27.4,1019,41.59,0.6741573033707865
27.4,1019,41.59,0.6741573033707865
27.4,1019,41.58,0.6741573033707865
27.4,1019,41.57,0.6741573033707865
27.4,1019,41.57,0.6741573033707865
27.4,1019,41.55,0.6741573033707865
27.41,1019,41.55,0.6741573033707865
27.41,1019,41.55,0.6741573033707865
27.41,1019,41.57,0.6741573033707865
27.4,1019,41.54,0.6741573033707865
27.41,1019,41.55,0.6460674157303371
27.41,1019,41.55,0.6460674157303371
27.38,1019,41.54,0.6235955056179775
27.3,1019,41.53,0.601123596
27.22,1019,41.54,0.5786516853932584
27.22,1019,41.54,0.5786516853932584
27.15,1019,41.55,0.5561797752808989
27.1,1019,41.55,0.5280898876404494
27.1,1019,41.55,0.5280898876404494
27.07,1019,41.56,0.5
27.04,1019,41.58,0.47752808988764045
27.02,1019,41.57,0.4606741573033708
27.02,1019,41.57,0.4606741573033708
26.99,1019,41.58,0.4438202247191011
26.97,1019,41.6,0.42696629213483145
26.97,1019,41.6,0.42696629213483145
26.96,1019,41.6,0.4157303370786517
26.94,1019,41.62,0.4044943820224719
26.93,1019,41.65,0.39325842696629215
26.93,1019,41.65,0.39325842696629215
26.92,1019,41.67,0.38202247191011235
26.91,1019,41.68,0.37640449438202245
26.9,1019,41.7,0.3651685393258427
26.9,1019,41.7,0.3651685393258427
26.88,1019,41.73,0.3595505617977528
26.88,1019,41.74,0.34831460674157305
26.88,1019,41.74,0.34831460674157305
26.87,1019,41.77,0.34269662921348315
26.87,1019,41.79,0.33707865168539325
26.86,1019,41.83,0.33146067415730335
26.86,1019,41.83,0.33146067415730335
26.86,1019,41.84,0.3202247191011236
26.84,1019,41.87,0.3202247191011236
26.84,1019,41.87,0.3202247191011236
26.83,1019,41.89,0.3146067415730337
26.83,1019,41.92,0.3146067415730337
26.83,1019,41.93,0.3146067415730337
26.83,1019,41.93,0.3146067415730337
26.83,1019,41.96,0.3146067415730337
26.82,1019,41.99,0.3146067415730337
26.82,1019,42,0.3146067415730337
26.82,1019,42,0.3146067415730337
26.81,1019,42,0.3146067415730337
26.81,1019,42.03,0.3146067415730337
26.81,1019,42.03,0.3146067415730337
26.8,1019,42.06,0.3146067415730337
26.8,1019,42.1,0.3146067415730337
26.79,1019,42.09,0.3146067415730337
26.79,1019,42.09,0.3146067415730337
26.79,1019,42.13,0.3146067415730337
26.79,1019,42.13,0.3146067415730337
26.79,1019,42.13,0.3146067415730337
26.78,1019,42.16,0.3146067415730337
26.78,1019,42.17,0.3146067415730337
26.78,1019,42.19,0.3146067415730337
