temperature,pressure,humidity,gas_resistance
27.7,1019,41.1,0.9101123595505618
27.7,1019,41.1,0.9157303370786517
27.71,1019,41.09,0.9101123595505618
27.71,1019,41.09,0.9101123595505618
27.7,1019,41.08,0.9101123595505618
27.7,1019,41.07,0.9101123595505618
27.7,1019,41.08,0.9157303370786517
27.7,1019,41.08,0.9157303370786517
27.7,1019,41.08,0.9157303370786517
27.7,1019,41.08,0.9157303370786517
27.7,1019,41.08,0.9157303370786517
27.69,1019,41.07,0.9101123595505618
27.69,1019,41.06,0.9101123595505618
27.7,1019,41.09,0.9101123595505618
27.7,1019,41.09,0.9101123595505618
27.7,1019,41.08,0.9157303370786517
27.7,1019,41.09,0.9157303370786517
27.7,1019,41.09,0.9157303370786517
27.7,1019,41.08,0.9157303370786517
27.68,1019,41.07,0.9157303370786517
27.68,1019,41.08,0.9157303370786517
27.68,1019,41.08,0.9157303370786517
27.69,1019,41.07,0.9101123595505618
27.69,1019,41.07,0.9101123595505618
27.69,1019,41.07,0.9157303370786517
27.69,1019,41.07,0.9157303370786517
27.7,1019,41.08,0.9157303370786517
27.7,1019,41.09,0.9157303370786517
27.7,1019,41.09,0.9157303370786517
27.7,1019,41.08,0.9157303370786517
27.7,1019,41.09,0.9157303370786517
27.7,1019,41.09,0.9157303370786517
27.7,1019,41.09,0.9157303370786517
27.71,1019,41.1,0.9157303370786517
27.71,1019,41.09,0.9157303370786517
27.71,1019,41.09,0.9157303370786517
27.71,1019,41.09,0.9157303370786517
27.71,1019,41.09,0.9101123595505618
27.72,1019,41.09,0.9157303370786517
27.72,1019,41.09,0.9157303370786517
27.72,1019,41.11,0.9101123595505618
27.72,1019,41.11,0.9157303370786517
27.73,1019,41.1,0.9157303370786517
27.73,1019,41.1,0.9157303370786517
27.73,1019,41.13,0.9101123595505618
27.74,1019,41.12,0.9101123595505618
27.74,1019,41.14,0.9157303370786517
27.74,1019,41.14,0.9157303370786517
27.74,1019,41.14,0.9157303370786517
27.74,1019,41.11,0.9157303370786517
27.74,1019,41.11,0.9157303370786517
27.74,1019,41.15,0.9101123595505618
